@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3}

@data
21,'2023/10/23 11:07:33:108',1,633.038208,492.69165,-0.001431,580.290222,486.543365,20.76343,527.107971,479.188049,29.495121,486.123901,481.301208,34.331165,457.961029,489.160522,38.508301,480.875763,437.514954,18.622492,409.851868,442.888,22.621647,369.550751,448.578918,25.782766,340.483765,453.478455,27.647173,474.834869,447.773865,7.764939,391.554352,445.442444,9.649452,343.405914,453.040283,12.42411,309.965607,460.433899,14.851633,473.468262,466.764252,-1.920006,394.787781,459.989868,-1.300233,345.183014,464.071045,0.563608,309.911682,468.94812,1.955541,476.755554,492.969147,-9.892656,414.283875,483.783783,-10.370451,375.845703,482.304108,-10.247332,344.567413,482.628265,-10.354512,1
22,'2023/10/23 11:07:33:121',1,632.974731,491.425354,-0.001277,578.520264,484.872375,20.056824,524.678894,477.450195,28.28142,482.990662,479.422852,32.658165,454.346924,487.479858,36.353729,479.268555,438.275421,17.272635,407.642151,443.764862,20.660173,366.264069,449.973389,23.394197,336.256927,455.637177,24.932306,474.487305,448.345337,6.371625,390.741028,446.146912,7.540071,341.730011,454.100098,9.714117,307.250458,462.283539,11.673704,474.389587,466.563354,-3.367313,395.382446,460.005615,-3.344957,344.764435,464.662506,-1.971326,308.084381,470.306488,-0.988206,479.099609,491.580811,-11.430975,416.693726,482.307068,-12.344914,377.649658,481.155304,-12.483097,345.407715,481.972046,-12.849261,1
23,'2023/10/23 11:07:33:132',1,632.974731,491.425354,-0.001277,578.520264,484.872375,20.056824,524.678894,477.450195,28.28142,482.990662,479.422852,32.658165,454.346924,487.479858,36.353729,479.268555,438.275421,17.272635,407.642151,443.764862,20.660173,366.264069,449.973389,23.394197,336.256927,455.637177,24.932306,474.487305,448.345337,6.371625,390.741028,446.146912,7.540071,341.730011,454.100098,9.714117,307.250458,462.283539,11.673704,474.389587,466.563354,-3.367313,395.382446,460.005615,-3.344957,344.764435,464.662506,-1.971326,308.084381,470.306488,-0.988206,479.099609,491.580811,-11.430975,416.693726,482.307068,-12.344914,377.649658,481.155304,-12.483097,345.407715,481.972046,-12.849261,1
24,'2023/10/23 11:07:33:145',1,632.974731,491.425354,-0.001277,578.520264,484.872375,20.056824,524.678894,477.450195,28.28142,482.990662,479.422852,32.658165,454.346924,487.479858,36.353729,479.268555,438.275421,17.272635,407.642151,443.764862,20.660173,366.264069,449.973389,23.394197,336.256927,455.637177,24.932306,474.487305,448.345337,6.371625,390.741028,446.146912,7.540071,341.730011,454.100098,9.714117,307.250458,462.283539,11.673704,474.389587,466.563354,-3.367313,395.382446,460.005615,-3.344957,344.764435,464.662506,-1.971326,308.084381,470.306488,-0.988206,479.099609,491.580811,-11.430975,416.693726,482.307068,-12.344914,377.649658,481.155304,-12.483097,345.407715,481.972046,-12.849261,1
25,'2023/10/23 11:07:33:159',1,633.173523,492.299194,-0.001263,578.76886,485.03479,20.184208,525.46936,477.419464,28.405321,484.126923,478.948883,32.80011,455.81485,486.476501,36.62553,479.85788,438.498932,17.204363,408.518951,443.115143,20.408209,366.676849,448.222992,22.938988,336.077179,453.0065,24.368376,475.268768,448.167023,6.227812,391.539001,445.806122,7.202104,342.363556,453.38385,9.293074,307.610535,461.071594,11.203319,475.755402,466.24176,-3.581641,396.919861,460.336792,-3.764316,346.311676,465.096252,-2.478039,309.483887,470.549835,-1.539481,481.223938,491.282471,-11.691751,419.087006,482.820221,-12.716885,380.362518,482.141388,-12.911215,348.218597,483.146576,-13.343025,1
26,'2023/10/23 11:07:33:169',1,633.173523,492.299194,-0.001263,578.76886,485.03479,20.184208,525.46936,477.419464,28.405321,484.126923,478.948883,32.80011,455.81485,486.476501,36.62553,479.85788,438.498932,17.204363,408.518951,443.115143,20.408209,366.676849,448.222992,22.938988,336.077179,453.0065,24.368376,475.268768,448.167023,6.227812,391.539001,445.806122,7.202104,342.363556,453.38385,9.293074,307.610535,461.071594,11.203319,475.755402,466.24176,-3.581641,396.919861,460.336792,-3.764316,346.311676,465.096252,-2.478039,309.483887,470.549835,-1.539481,481.223938,491.282471,-11.691751,419.087006,482.820221,-12.716885,380.362518,482.141388,-12.911215,348.218597,483.146576,-13.343025,1
27,'2023/10/23 11:07:33:181',1,633.173523,492.299194,-0.001263,578.76886,485.03479,20.184208,525.46936,477.419464,28.405321,484.126923,478.948883,32.80011,455.81485,486.476501,36.62553,479.85788,438.498932,17.204363,408.518951,443.115143,20.408209,366.676849,448.222992,22.938988,336.077179,453.0065,24.368376,475.268768,448.167023,6.227812,391.539001,445.806122,7.202104,342.363556,453.38385,9.293074,307.610535,461.071594,11.203319,475.755402,466.24176,-3.581641,396.919861,460.336792,-3.764316,346.311676,465.096252,-2.478039,309.483887,470.549835,-1.539481,481.223938,491.282471,-11.691751,419.087006,482.820221,-12.716885,380.362518,482.141388,-12.911215,348.218597,483.146576,-13.343025,1
28,'2023/10/23 11:07:33:192',1,632.801392,493.904449,-0.001328,580.545532,488.855438,20.650251,527.291138,481.615448,29.476427,486.33078,483.296356,34.39024,457.803131,490.357269,38.696804,478.769501,439.41748,19.274729,408.677795,444.240509,23.37187,368.37677,449.774536,26.442945,339.265289,454.550049,28.196396,472.744324,448.931,8.336503,390.096436,446.197906,10.300999,341.911072,453.510986,12.884292,308.230377,460.447876,15.162255,471.493042,467.103638,-1.510463,393.294037,460.509094,-0.937591,343.279877,464.449493,0.773046,307.265961,469.05542,2.045942,475.130249,492.60025,-9.679173,412.745483,483.796967,-10.239014,373.855774,482.283447,-10.163335,341.898346,482.314636,-10.313519,1
29,'2023/10/23 11:07:33:204',1,632.801392,493.904449,-0.001328,580.545532,488.855438,20.650251,527.291138,481.615448,29.476427,486.33078,483.296356,34.39024,457.803131,490.357269,38.696804,478.769501,439.41748,19.274729,408.677795,444.240509,23.37187,368.37677,449.774536,26.442945,339.265289,454.550049,28.196396,472.744324,448.931,8.336503,390.096436,446.197906,10.300999,341.911072,453.510986,12.884292,308.230377,460.447876,15.162255,471.493042,467.103638,-1.510463,393.294037,460.509094,-0.937591,343.279877,464.449493,0.773046,307.265961,469.05542,2.045942,475.130249,492.60025,-9.679173,412.745483,483.796967,-10.239014,373.855774,482.283447,-10.163335,341.898346,482.314636,-10.313519,1
30,'2023/10/23 11:07:33:216',1,632.801392,493.904449,-0.001328,580.545532,488.855438,20.650251,527.291138,481.615448,29.476427,486.33078,483.296356,34.39024,457.803131,490.357269,38.696804,478.769501,439.41748,19.274729,408.677795,444.240509,23.37187,368.37677,449.774536,26.442945,339.265289,454.550049,28.196396,472.744324,448.931,8.336503,390.096436,446.197906,10.300999,341.911072,453.510986,12.884292,308.230377,460.447876,15.162255,471.493042,467.103638,-1.510463,393.294037,460.509094,-0.937591,343.279877,464.449493,0.773046,307.265961,469.05542,2.045942,475.130249,492.60025,-9.679173,412.745483,483.796967,-10.239014,373.855774,482.283447,-10.163335,341.898346,482.314636,-10.313519,1
31,'2023/10/23 11:07:33:228',1,633.274963,493.891418,-0.00132,578.545654,485.919678,20.203377,524.996887,477.913513,28.434118,483.363281,479.443329,32.812801,454.845764,487.228394,36.565758,480.248749,438.754852,17.294468,408.705841,444.310822,20.587244,367.076172,450.3237,23.204153,336.746155,455.816833,24.698231,475.83136,448.580597,6.348545,392.027802,446.782104,7.428512,342.757935,454.771606,9.555926,307.941772,462.825317,11.523392,476.116089,466.777985,-3.427744,396.987061,460.856476,-3.472444,346.111816,465.623749,-2.148199,309.035278,471.088745,-1.160576,481.100464,491.970001,-11.505516,418.497284,482.999573,-12.480087,379.389313,482.015167,-12.704985,346.873016,482.757629,-13.117889,1
